canonical_id,canonical_navn,lag,kjede,klinikk_id,behandling_navn_raw,pris_min,pris_max,prisformat,pris_kilde,hentet_dato,inkluderer_raw,ekskluderer_raw
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__a1_tannlegen,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__alesund_sentrum,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__amfi_bjorkeveien,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__arendal_sentrum,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__asker_tannlege,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__bankgata,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__bekkestua_tannregulering,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__bergen_wallendahl,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__bjornstjerne_bjornsonsveg,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__bodo_tannregulering,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__brekstad,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__carolusbygget,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__colosseum_tannlege_mjondalen,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__colosseum_tannlege_moss,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__dampsagveien,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__drammen_sentrum,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__farmannsgate,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__fauske_sentrum,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__gasholmen,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__gulskogen,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__hakonskastet,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__hestenesgata,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__horten_smil_tannregulering,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__hovedgata,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__hovedgaten,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__innherredsveien,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__johnstons_gate,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__jon_torbergssons_vei,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__kastell,Bedøvelse,205,,fra,sentral,2026-05-06,,
anesthesia_per_dose,"Bedøvelse, per dose",2,colosseum,colosseum__kirkegaten,Bedøvelse,205,,fra,sentral,2026-05-06,,
